### CMD: kubectl -n cert-manager logs deploy/cert-manager --tail=200
### TIME: 2026-02-09T10:28:42Z
I0207 03:20:56.035076       1 controller.go:251] "cert-manager/controller/build-context: configured acme dns01 nameservers" nameservers=["10.100.0.10:53"]
I0207 03:20:56.140026       1 controller.go:192] "cert-manager/controller: not starting controller as it's disabled" controller="certificatesigningrequests-issuer-selfsigned"
I0207 03:20:56.140038       1 controller.go:192] "cert-manager/controller: not starting controller as it's disabled" controller="certificatesigningrequests-issuer-vault"
I0207 03:20:56.147760       1 controller.go:192] "cert-manager/controller: not starting controller as it's disabled" controller="gateway-shim"
I0207 03:20:56.148669       1 controller.go:215] "cert-manager/controller: starting controller" controller="certificaterequests-issuer-acme"
I0207 03:20:56.148738       1 controller.go:215] "cert-manager/controller: starting controller" controller="certificaterequests-issuer-vault"
I0207 03:20:56.148776       1 controller.go:215] "cert-manager/controller: starting controller" controller="certificates-request-manager"
I0207 03:20:56.148815       1 controller.go:215] "cert-manager/controller: starting controller" controller="challenges"
I0207 03:20:56.148866       1 controller.go:215] "cert-manager/controller: starting controller" controller="orders"
I0207 03:20:56.148896       1 controller.go:215] "cert-manager/controller: starting controller" controller="clusterissuers"
I0207 03:20:56.148925       1 controller.go:215] "cert-manager/controller: starting controller" controller="issuers"
I0207 03:20:56.148963       1 controller.go:215] "cert-manager/controller: starting controller" controller="certificaterequests-issuer-venafi"
I0207 03:20:56.149040       1 controller.go:215] "cert-manager/controller: starting controller" controller="certificates-trigger"
I0207 03:20:56.149084       1 controller.go:215] "cert-manager/controller: starting controller" controller="certificaterequests-issuer-ca"
I0207 03:20:56.149121       1 controller.go:215] "cert-manager/controller: starting controller" controller="certificates-issuing"
I0207 03:20:56.149174       1 controller.go:215] "cert-manager/controller: starting controller" controller="certificates-key-manager"
I0207 03:20:56.149234       1 controller.go:215] "cert-manager/controller: starting controller" controller="certificates-metrics"
I0207 03:20:56.149272       1 controller.go:215] "cert-manager/controller: starting controller" controller="certificaterequests-approver"
I0208 21:19:32.335957       1 conditions.go:203] Setting lastTransitionTime for Certificate "llmisvc-serving-cert" condition "Ready" to 2026-02-08 21:19:32.335930549 +0000 UTC m=+151116.461857911
I0208 21:19:32.336376       1 trigger_controller.go:194] "cert-manager/certificates-trigger: Certificate must be re-issued" key="kserve/llmisvc-serving-cert" reason="DoesNotExist" message="Issuing certificate as Secret does not exist"
I0208 21:19:32.336401       1 conditions.go:203] Setting lastTransitionTime for Certificate "llmisvc-serving-cert" condition "Issuing" to 2026-02-08 21:19:32.336397056 +0000 UTC m=+151116.462324417
I0208 21:19:32.368394       1 controller.go:162] "cert-manager/certificates-readiness: re-queuing item due to optimistic locking on resource" key="kserve/llmisvc-serving-cert" error="Operation cannot be fulfilled on certificates.cert-manager.io \"llmisvc-serving-cert\": the object has been modified; please apply your changes to the latest version and try again"
I0208 21:19:32.368542       1 conditions.go:203] Setting lastTransitionTime for Certificate "llmisvc-serving-cert" condition "Ready" to 2026-02-08 21:19:32.368531784 +0000 UTC m=+151116.494459141
I0208 21:19:32.474335       1 controller.go:162] "cert-manager/certificates-key-manager: re-queuing item due to optimistic locking on resource" key="kserve/llmisvc-serving-cert" error="Operation cannot be fulfilled on certificates.cert-manager.io \"llmisvc-serving-cert\": the object has been modified; please apply your changes to the latest version and try again"
I0208 21:19:32.507230       1 conditions.go:263] Setting lastTransitionTime for CertificateRequest "llmisvc-serving-cert-1" condition "Approved" to 2026-02-08 21:19:32.507219326 +0000 UTC m=+151116.633146686
I0208 21:19:32.545404       1 conditions.go:263] Setting lastTransitionTime for CertificateRequest "llmisvc-serving-cert-1" condition "Ready" to 2026-02-08 21:19:32.545396463 +0000 UTC m=+151116.671323802
I0208 21:19:32.545788       1 conditions.go:263] Setting lastTransitionTime for CertificateRequest "llmisvc-serving-cert-1" condition "Ready" to 2026-02-08 21:19:32.545777443 +0000 UTC m=+151116.671704797
I0208 21:19:32.546383       1 conditions.go:263] Setting lastTransitionTime for CertificateRequest "llmisvc-serving-cert-1" condition "Ready" to 2026-02-08 21:19:32.546374388 +0000 UTC m=+151116.672301747
I0208 21:19:32.547015       1 conditions.go:263] Setting lastTransitionTime for CertificateRequest "llmisvc-serving-cert-1" condition "Ready" to 2026-02-08 21:19:32.547007291 +0000 UTC m=+151116.672934644
I0208 21:19:32.547733       1 conditions.go:263] Setting lastTransitionTime for CertificateRequest "llmisvc-serving-cert-1" condition "Ready" to 2026-02-08 21:19:32.54772461 +0000 UTC m=+151116.673651966
I0208 21:19:32.578365       1 controller.go:162] "cert-manager/certificaterequests-issuer-selfsigned: re-queuing item due to optimistic locking on resource" key="kserve/llmisvc-serving-cert-1" error="Operation cannot be fulfilled on certificaterequests.cert-manager.io \"llmisvc-serving-cert-1\": the object has been modified; please apply your changes to the latest version and try again"
I0208 21:19:32.582680       1 controller.go:162] "cert-manager/certificaterequests-issuer-ca: re-queuing item due to optimistic locking on resource" key="kserve/llmisvc-serving-cert-1" error="Operation cannot be fulfilled on certificaterequests.cert-manager.io \"llmisvc-serving-cert-1\": the object has been modified; please apply your changes to the latest version and try again"
I0208 21:19:32.583194       1 controller.go:162] "cert-manager/certificaterequests-issuer-vault: re-queuing item due to optimistic locking on resource" key="kserve/llmisvc-serving-cert-1" error="Operation cannot be fulfilled on certificaterequests.cert-manager.io \"llmisvc-serving-cert-1\": the object has been modified; please apply your changes to the latest version and try again"
I0208 21:19:32.585027       1 controller.go:162] "cert-manager/certificaterequests-issuer-venafi: re-queuing item due to optimistic locking on resource" key="kserve/llmisvc-serving-cert-1" error="Operation cannot be fulfilled on certificaterequests.cert-manager.io \"llmisvc-serving-cert-1\": the object has been modified; please apply your changes to the latest version and try again"
I0208 21:19:37.246677       1 conditions.go:203] Setting lastTransitionTime for Certificate "serving-cert" condition "Ready" to 2026-02-08 21:19:37.246664113 +0000 UTC m=+151121.372591476
I0208 21:19:37.247314       1 trigger_controller.go:194] "cert-manager/certificates-trigger: Certificate must be re-issued" key="kserve/serving-cert" reason="DoesNotExist" message="Issuing certificate as Secret does not exist"
I0208 21:19:37.247482       1 conditions.go:203] Setting lastTransitionTime for Certificate "serving-cert" condition "Issuing" to 2026-02-08 21:19:37.24747265 +0000 UTC m=+151121.373400016
I0208 21:19:37.290556       1 controller.go:162] "cert-manager/certificates-readiness: re-queuing item due to optimistic locking on resource" key="kserve/serving-cert" error="Operation cannot be fulfilled on certificates.cert-manager.io \"serving-cert\": the object has been modified; please apply your changes to the latest version and try again"
I0208 21:19:37.290877       1 conditions.go:203] Setting lastTransitionTime for Certificate "serving-cert" condition "Ready" to 2026-02-08 21:19:37.290863656 +0000 UTC m=+151121.416791019
I0208 21:19:37.575112       1 controller.go:162] "cert-manager/certificates-key-manager: re-queuing item due to optimistic locking on resource" key="kserve/serving-cert" error="Operation cannot be fulfilled on certificates.cert-manager.io \"serving-cert\": the object has been modified; please apply your changes to the latest version and try again"
I0208 21:19:37.642500       1 conditions.go:263] Setting lastTransitionTime for CertificateRequest "serving-cert-1" condition "Approved" to 2026-02-08 21:19:37.642488463 +0000 UTC m=+151121.768415822
I0208 21:19:37.681676       1 conditions.go:263] Setting lastTransitionTime for CertificateRequest "serving-cert-1" condition "Ready" to 2026-02-08 21:19:37.681668454 +0000 UTC m=+151121.807595808
I0208 21:19:37.682181       1 conditions.go:263] Setting lastTransitionTime for CertificateRequest "serving-cert-1" condition "Ready" to 2026-02-08 21:19:37.682172434 +0000 UTC m=+151121.808099787
I0208 21:19:37.682366       1 conditions.go:263] Setting lastTransitionTime for CertificateRequest "serving-cert-1" condition "Ready" to 2026-02-08 21:19:37.682361765 +0000 UTC m=+151121.808289104
I0208 21:19:37.682435       1 conditions.go:263] Setting lastTransitionTime for CertificateRequest "serving-cert-1" condition "Ready" to 2026-02-08 21:19:37.682432659 +0000 UTC m=+151121.808360014
I0208 21:19:37.682480       1 conditions.go:263] Setting lastTransitionTime for CertificateRequest "serving-cert-1" condition "Ready" to 2026-02-08 21:19:37.682474487 +0000 UTC m=+151121.808401826
I0208 21:19:37.745493       1 controller.go:162] "cert-manager/certificaterequests-issuer-selfsigned: re-queuing item due to optimistic locking on resource" key="kserve/serving-cert-1" error="Operation cannot be fulfilled on certificaterequests.cert-manager.io \"serving-cert-1\": the object has been modified; please apply your changes to the latest version and try again"
I0208 21:19:37.757526       1 controller.go:162] "cert-manager/certificaterequests-issuer-vault: re-queuing item due to optimistic locking on resource" key="kserve/serving-cert-1" error="Operation cannot be fulfilled on certificaterequests.cert-manager.io \"serving-cert-1\": the object has been modified; please apply your changes to the latest version and try again"
I0208 21:19:37.760948       1 controller.go:162] "cert-manager/certificaterequests-issuer-acme: re-queuing item due to optimistic locking on resource" key="kserve/serving-cert-1" error="Operation cannot be fulfilled on certificaterequests.cert-manager.io \"serving-cert-1\": the object has been modified; please apply your changes to the latest version and try again"
I0208 21:19:37.765994       1 controller.go:162] "cert-manager/certificaterequests-issuer-venafi: re-queuing item due to optimistic locking on resource" key="kserve/serving-cert-1" error="Operation cannot be fulfilled on certificaterequests.cert-manager.io \"serving-cert-1\": the object has been modified; please apply your changes to the latest version and try again"
I0208 21:19:38.158325       1 conditions.go:96] Setting lastTransitionTime for Issuer "selfsigned-issuer" condition "Ready" to 2026-02-08 21:19:38.158314447 +0000 UTC m=+151122.284241802
I0208 21:19:38.211971       1 conditions.go:252] Found status change for CertificateRequest "serving-cert-1" condition "Ready": "False" -> "True"; setting lastTransitionTime to 2026-02-08 21:19:38.211955454 +0000 UTC m=+151122.337882809
I0208 21:19:38.221805       1 conditions.go:252] Found status change for CertificateRequest "llmisvc-serving-cert-1" condition "Ready": "False" -> "True"; setting lastTransitionTime to 2026-02-08 21:19:38.221791878 +0000 UTC m=+151122.347719234
I0208 21:19:38.289939       1 conditions.go:192] Found status change for Certificate "serving-cert" condition "Ready": "False" -> "True"; setting lastTransitionTime to 2026-02-08 21:19:38.289931026 +0000 UTC m=+151122.415858366
I0208 21:19:38.291619       1 conditions.go:192] Found status change for Certificate "llmisvc-serving-cert" condition "Ready": "False" -> "True"; setting lastTransitionTime to 2026-02-08 21:19:38.291611278 +0000 UTC m=+151122.417538630
I0208 21:19:38.392187       1 controller.go:162] "cert-manager/certificates-readiness: re-queuing item due to optimistic locking on resource" key="kserve/llmisvc-serving-cert" error="Operation cannot be fulfilled on certificates.cert-manager.io \"llmisvc-serving-cert\": the object has been modified; please apply your changes to the latest version and try again"
I0208 21:19:38.393931       1 conditions.go:192] Found status change for Certificate "llmisvc-serving-cert" condition "Ready": "False" -> "True"; setting lastTransitionTime to 2026-02-08 21:19:38.393923519 +0000 UTC m=+151122.519850862
I0208 21:19:38.406389       1 controller.go:162] "cert-manager/certificates-readiness: re-queuing item due to optimistic locking on resource" key="kserve/serving-cert" error="Operation cannot be fulfilled on certificates.cert-manager.io \"serving-cert\": the object has been modified; please apply your changes to the latest version and try again"
I0208 21:19:38.411119       1 conditions.go:192] Found status change for Certificate "serving-cert" condition "Ready": "False" -> "True"; setting lastTransitionTime to 2026-02-08 21:19:38.411103845 +0000 UTC m=+151122.537031208
I0208 21:19:38.514622       1 controller.go:162] "cert-manager/certificates-readiness: re-queuing item due to optimistic locking on resource" key="kserve/serving-cert" error="Operation cannot be fulfilled on certificates.cert-manager.io \"serving-cert\": the object has been modified; please apply your changes to the latest version and try again"
I0208 21:19:38.516905       1 conditions.go:192] Found status change for Certificate "serving-cert" condition "Ready": "False" -> "True"; setting lastTransitionTime to 2026-02-08 21:19:38.516891483 +0000 UTC m=+151122.642818839
I0208 21:19:38.522595       1 controller.go:162] "cert-manager/certificates-readiness: re-queuing item due to optimistic locking on resource" key="kserve/llmisvc-serving-cert" error="Operation cannot be fulfilled on certificates.cert-manager.io \"llmisvc-serving-cert\": the object has been modified; please apply your changes to the latest version and try again"
I0208 21:19:38.524887       1 conditions.go:192] Found status change for Certificate "llmisvc-serving-cert" condition "Ready": "False" -> "True"; setting lastTransitionTime to 2026-02-08 21:19:38.524872749 +0000 UTC m=+151122.650800108
